Finland,1,78.0,2,78.0,0.0,
Switzerland,2,70.5,2,70.5,0.0,
Hungary,3,64.5,2,64.5,0.0,
Belgium,4,53.666666666666664,3,53.666666666666664,0.0,
Ivory Coast,5,42.125,2,42.125,0.0,
China,6,40.5,2,40.5,0.0,
Brazil,7,36.0,2,36.0,0.0,
Italy,8,35.666666666666664,3,35.666666666666664,0.0,
Chile,9,24.826666666666664,3,24.826666666666664,0.0,
Germany,10,19.555,2,19.555,0.0,
Canada,11,15.0,1,15.0,0.0,
Iceland,12,9.52,2,9.52,0.0,
Portugal,13,9.18,2,9.18,0.0,
Cameroon,14,4.02,2,4.02,0.0,
Scotland,15,3.245,2,3.245,0.0,
Venezuela,16,0.4033333333333333,3,0.4033333333333333,0.0,
South Africa,17,0.385,2,0.385,0.0,
New Zealand,18,0.355,2,0.355,0.0,
Greece,19,0.25,2,0.25,0.0,
Bulgaria,20,0.21,1,0.21,0.0,
Russia,21,0.2,2,0.2,0.0,
Argentina,22,0.0,0,0.0,0.0,
France,23,0.0,0,0.0,0.0,
England,24,0.0,0,0.0,0.0,
Spain,25,0.0,0,0.0,0.0,
Netherlands,26,0.0,0,0.0,0.0,
Denmark,27,0.0,0,0.0,0.0,
Mexico,28,0.0,0,0.0,0.0,
Uruguay,29,0.0,0,0.0,0.0,
USA,30,0.0,0,0.0,0.0,
Colombia,31,0.0,0,0.0,0.0,
Wales,32,0.0,0,0.0,0.0,
Peru,33,0.0,0,0.0,0.0,
Sweden,34,0.0,0,0.0,0.0,
Poland,35,0.0,0,0.0,0.0,
Austria,36,0.0,0,0.0,0.0,
Czech Republic,37,0.0,0,0.0,0.0,
Australia,38,0.0,0,0.0,0.0,
Eqypt,39,0.0,0,0.0,0.0,
Norway,40,0.0,0,0.0,0.0,
Ecuador,41,0.0,0,0.0,0.0,
Turkey,42,0.0,0,0.0,0.0,
Paraguay,43,0.0,0,0.0,0.0,
Ireland,44,0.0,0,0.0,0.0,
Romania,45,0.0,0,0.0,0.0,
Northern Ireland,46,0.0,0,0.0,0.0,
Slovenia,47,0.0,0,0.0,0.0,
Bolivia,48,0.0,0,0.0,0.0,
India,49,0.0,0,0.0,0.0,
